text,tag,is_diff,relabel_intent,older_intents,is_confuse,orlder_tag
tăng bóng 3 26 phần trăm,O B-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
hãy tăng thêm độ sáng phòng ngủ con trai lên 91 phần trăm,O B-commandcommand I-commandcommand O O B-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-commandcommand I-commandcommand O O B-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
giúp mình tăng đèn âm trần thứ 2 lên 10 phần trăm ở phòng con nhỏ 4 tầng 5 nhé,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O
bạn có thể tăng giúp mình bóng chùm thứ 3 lên mức 21 phần trăm được không,O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
tăng bình nóng lạnh 5 phần trăm,O B-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
mình muốn tăng bóng vách,O O O B-devicedevice I-devicedevice,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O B-devicedevice I-devicedevice
tăng đèn cảnh lên 23 phần trăm ở khách 2 6,O B-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber
bạn có thể giúp mình tăng mức độ của đèn màu bên phòng giặt ủi 4 lên 8 phần trăm được không,O O O O O O O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O O O O O O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
bạn tăng đèn hắt tường thứ 1 ở phòng sách 5 lên 13 phần trăm giúp mình nhé,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O
tăng đèn treo tường lên 7 phần trăm giúp mình,O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
hãy tăng giúp ta cái nóng lạnh 4 ở phòng trẻ em 5,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom,True,smart.home.increase.level,smart.home.increase.percentage,1111111111111111,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom
tăng thêm độ sáng bóng trụ cổng 3 lễ tân 4 lên 82 phần trăm,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,0,smart.home.increase.percentage,smart.home.increase.percentage,0,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng điện thứ 1 lên 5 phần trăm giúp mình,O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,0,smart.home.increase.percentage,smart.home.increase.percentage,0,O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
